,Academic Year,Full-time,Level of study,Institution,Program Length,Sex,Students
149,2010,False,Research postgraduate,The Hong Kong University of Science and Technology,Postgrad,Female,7
150,2010,False,Research postgraduate,The Hong Kong University of Science and Technology,Postgrad,Male,27
151,2010,True,Undergraduate,The Hong Kong University of Science and Technology,1,Female,695
152,2010,True,Undergraduate,The Hong Kong University of Science and Technology,1,Male,1280
153,2010,True,Undergraduate,The Hong Kong University of Science and Technology,2,Female,693
154,2010,True,Undergraduate,The Hong Kong University of Science and Technology,2,Male,1365
155,2010,True,Undergraduate,The Hong Kong University of Science and Technology,3,Female,695
156,2010,True,Undergraduate,The Hong Kong University of Science and Technology,3,Male,1264
157,2010,True,Undergraduate,The Hong Kong University of Science and Technology,4,Female,5
158,2010,True,Undergraduate,The Hong Kong University of Science and Technology,4,Male,7
159,2010,True,Research postgraduate,The University of Hong Kong,Postgrad,Female,891
160,2010,True,Research postgraduate,The University of Hong Kong,Postgrad,Male,950
161,2010,False,Research postgraduate,The University of Hong Kong,Postgrad,Female,119
162,2010,False,Research postgraduate,The University of Hong Kong,Postgrad,Male,142
163,2010,True,Taught postgraduate,The University of Hong Kong,1,Female,221
164,2010,True,Taught postgraduate,The University of Hong Kong,1,Male,145
165,2010,True,Taught postgraduate,The University of Hong Kong,2,Female,94
166,2010,True,Taught postgraduate,The University of Hong Kong,2,Male,51
167,2010,False,Taught postgraduate,The University of Hong Kong,1,Female,166
168,2010,False,Taught postgraduate,The University of Hong Kong,1,Male,105
169,2010,False,Taught postgraduate,The University of Hong Kong,2,Female,137
170,2010,False,Taught postgraduate,The University of Hong Kong,2,Male,94
171,2010,True,Undergraduate,The University of Hong Kong,1,Female,1590
172,2010,True,Undergraduate,The University of Hong Kong,1,Male,1496
173,2010,True,Undergraduate,The University of Hong Kong,2,Female,1652
174,2010,True,Undergraduate,The University of Hong Kong,2,Male,1495
175,2010,True,Undergraduate,The University of Hong Kong,3,Female,1653
176,2010,True,Undergraduate,The University of Hong Kong,3,Male,1654
177,2010,True,Undergraduate,The University of Hong Kong,4,Female,400
178,2010,True,Undergraduate,The University of Hong Kong,4,Male,196
179,2010,True,Undergraduate,The University of Hong Kong,5,Female,97
180,2010,True,Undergraduate,The University of Hong Kong,5,Male,110
181,2011,True,Research postgraduate,City University of Hong Kong,Postgrad,Female,272
182,2011,True,Research postgraduate,City University of Hong Kong,Postgrad,Male,380
183,2011,False,Research postgraduate,City University of Hong Kong,Postgrad,Female,@
184,2011,False,Research postgraduate,City University of Hong Kong,Postgrad,Male,@
185,2011,True,Sub-degree,City University of Hong Kong,1,Female,188
186,2011,True,Sub-degree,City University of Hong Kong,1,Male,312
187,2011,True,Sub-degree,City University of Hong Kong,2,Female,161
188,2011,True,Sub-degree,City University of Hong Kong,2,Male,239
189,2011,True,Taught postgraduate,City University of Hong Kong,1,Female,30
190,2011,True,Taught postgraduate,City University of Hong Kong,1,Male,22
191,2011,True,Undergraduate,City University of Hong Kong,1,Female,1041
192,2011,True,Undergraduate,City University of Hong Kong,1,Male,1331
193,2011,True,Undergraduate,City University of Hong Kong,2,Female,1480
194,2011,True,Undergraduate,City University of Hong Kong,2,Male,1443
195,2011,True,Undergraduate,City University of Hong Kong,3,Female,1512
196,2011,True,Undergraduate,City University of Hong Kong,3,Male,1648
197,2011,True,Undergraduate,City University of Hong Kong,4,Female,19
198,2011,True,Undergraduate,City University of Hong Kong,4,Male,17
199,2011,True,Undergraduate,City University of Hong Kong,work placement,Female,37
200,2011,True,Undergraduate,City University of Hong Kong,work placement,Male,89
201,2011,False,Undergraduate,City University of Hong Kong,4,Male,@
202,2011,False,Undergraduate,City University of Hong Kong,5,Female,@
203,2011,False,Undergraduate,City University of Hong Kong,5,Male,@
204,2011,True,Research postgraduate,Hong Kong Baptist University,Postgrad,Female,127
205,2011,True,Research postgraduate,Hong Kong Baptist University,Postgrad,Male,111
206,2011,True,Taught postgraduate,Hong Kong Baptist University,1,Female,19
207,2011,True,Taught postgraduate,Hong Kong Baptist University,1,Male,7
208,2011,False,Taught postgraduate,Hong Kong Baptist University,1,Female,138
209,2011,False,Taught postgraduate,Hong Kong Baptist University,1,Male,113
210,2011,False,Taught postgraduate,Hong Kong Baptist University,2,Female,136
211,2011,False,Taught postgraduate,Hong Kong Baptist University,2,Male,119
212,2011,True,Undergraduate,Hong Kong Baptist University,1,Female,914
213,2011,True,Undergraduate,Hong Kong Baptist University,1,Male,551
214,2011,True,Undergraduate,Hong Kong Baptist University,2,Female,939
215,2011,True,Undergraduate,Hong Kong Baptist University,2,Male,641
216,2011,True,Undergraduate,Hong Kong Baptist University,3,Female,924
217,2011,True,Undergraduate,Hong Kong Baptist University,3,Male,647
218,2011,True,Undergraduate,Hong Kong Baptist University,4,Female,55
219,2011,True,Undergraduate,Hong Kong Baptist University,4,Male,41
220,2011,True,Undergraduate,Hong Kong Baptist University,5,Female,13
221,2011,True,Undergraduate,Hong Kong Baptist University,5,Male,13
222,2011,True,Undergraduate,Hong Kong Baptist University,work placement,Female,38
223,2011,True,Undergraduate,Hong Kong Baptist University,work placement,Male,10
224,2011,True,Research postgraduate,Lingnan University,Postgrad,Female,30
225,2011,True,Research postgraduate,Lingnan University,Postgrad,Male,24
226,2011,False,Research postgraduate,Lingnan University,Postgrad,Female,@
227,2011,False,Research postgraduate,Lingnan University,Postgrad,Male,@
228,2011,True,Undergraduate,Lingnan University,1,Female,424
229,2011,True,Undergraduate,Lingnan University,1,Male,220
230,2011,True,Undergraduate,Lingnan University,2,Female,499
231,2011,True,Undergraduate,Lingnan University,2,Male,286
232,2011,True,Undergraduate,Lingnan University,3,Female,544
233,2011,True,Undergraduate,Lingnan University,3,Male,260
234,2011,True,Research postgraduate,The Chinese University of Hong Kong,Postgrad,Female,730
235,2011,True,Research postgraduate,The Chinese University of Hong Kong,Postgrad,Male,928
236,2011,False,Research postgraduate,The Chinese University of Hong Kong,Postgrad,Female,21
237,2011,False,Research postgraduate,The Chinese University of Hong Kong,Postgrad,Male,21
238,2011,True,Taught postgraduate,The Chinese University of Hong Kong,1,Female,218
239,2011,True,Taught postgraduate,The Chinese University of Hong Kong,1,Male,119
240,2011,True,Taught postgraduate,The Chinese University of Hong Kong,2,Female,27
241,2011,True,Taught postgraduate,The Chinese University of Hong Kong,2,Male,25
242,2011,False,Taught postgraduate,The Chinese University of Hong Kong,1,Female,177
243,2011,False,Taught postgraduate,The Chinese University of Hong Kong,1,Male,112
244,2011,False,Taught postgraduate,The Chinese University of Hong Kong,2,Female,199
245,2011,False,Taught postgraduate,The Chinese University of Hong Kong,2,Male,124
246,2011,True,Undergraduate,The Chinese University of Hong Kong,1,Female,1777
247,2011,True,Undergraduate,The Chinese University of Hong Kong,1,Male,1702
248,2011,True,Undergraduate,The Chinese University of Hong Kong,2,Female,1802
249,2011,True,Undergraduate,The Chinese University of Hong Kong,2,Male,1519
250,2011,True,Undergraduate,The Chinese University of Hong Kong,3,Female,1880
251,2011,True,Undergraduate,The Chinese University of Hong Kong,3,Male,1610
252,2011,True,Undergraduate,The Chinese University of Hong Kong,4,Female,387
253,2011,True,Undergraduate,The Chinese University of Hong Kong,4,Male,255
254,2011,True,Undergraduate,The Chinese University of Hong Kong,5,Female,76
255,2011,True,Undergraduate,The Chinese University of Hong Kong,5,Male,78
256,2011,True,Undergraduate,The Chinese University of Hong Kong,6,Female,@
257,2011,True,Undergraduate,The Chinese University of Hong Kong,work placement,Female,40
258,2011,True,Undergraduate,The Chinese University of Hong Kong,work placement,Male,86
259,2011,True,Research postgraduate,The Education University of Hong Kong,Postgrad,Female,7
260,2011,True,Research postgraduate,The Education University of Hong Kong,Postgrad,Male,@
261,2011,True,Sub-degree,The Education University of Hong Kong,1,Female,187
262,2011,True,Sub-degree,The Education University of Hong Kong,1,Male,@
263,2011,True,Sub-degree,The Education University of Hong Kong,2,Female,142
264,2011,True,Sub-degree,The Education University of Hong Kong,2,Male,@
265,2011,True,Sub-degree,The Education University of Hong Kong,3,Female,100
266,2011,True,Sub-degree,The Education University of Hong Kong,3,Male,@
267,2011,False,Sub-degree,The Education University of Hong Kong,1,Female,231
268,2011,False,Sub-degree,The Education University of Hong Kong,1,Male,@
269,2011,False,Sub-degree,The Education University of Hong Kong,2,Female,203
270,2011,False,Sub-degree,The Education University of Hong Kong,short programme,Female,758
271,2011,False,Sub-degree,The Education University of Hong Kong,short programme,Male,314
272,2011,True,Taught postgraduate,The Education University of Hong Kong,1,Female,112
273,2011,True,Taught postgraduate,The Education University of Hong Kong,1,Male,65
274,2011,False,Taught postgraduate,The Education University of Hong Kong,1,Female,263
275,2011,False,Taught postgraduate,The Education University of Hong Kong,1,Male,110
276,2011,False,Taught postgraduate,The Education University of Hong Kong,2,Female,207
277,2011,False,Taught postgraduate,The Education University of Hong Kong,2,Male,116
278,2011,True,Undergraduate,The Education University of Hong Kong,1,Female,587
279,2011,True,Undergraduate,The Education University of Hong Kong,1,Male,173
280,2011,True,Undergraduate,The Education University of Hong Kong,2,Female,482
281,2011,True,Undergraduate,The Education University of Hong Kong,2,Male,148
282,2011,True,Undergraduate,The Education University of Hong Kong,3,Female,472
283,2011,True,Undergraduate,The Education University of Hong Kong,3,Male,145
284,2011,True,Undergraduate,The Education University of Hong Kong,4,Female,473
285,2011,True,Undergraduate,The Education University of Hong Kong,4,Male,167
286,2011,False,Undergraduate,The Education University of Hong Kong,1,Female,427
287,2011,False,Undergraduate,The Education University of Hong Kong,1,Male,71
288,2011,False,Undergraduate,The Education University of Hong Kong,2,Female,486
289,2011,False,Undergraduate,The Education University of Hong Kong,2,Male,43
290,2011,False,Undergraduate,The Education University of Hong Kong,3,Female,452
291,2011,False,Undergraduate,The Education University of Hong Kong,3,Male,24
292,2011,True,Research postgraduate,The Hong Kong Polytechnic University,Postgrad,Female,233
293,2011,True,Research postgraduate,The Hong Kong Polytechnic University,Postgrad,Male,366
294,2011,False,Research postgraduate,The Hong Kong Polytechnic University,Postgrad,Female,@
295,2011,False,Research postgraduate,The Hong Kong Polytechnic University,Postgrad,Male,13
296,2011,True,Sub-degree,The Hong Kong Polytechnic University,1,Female,922
297,2011,True,Sub-degree,The Hong Kong Polytechnic University,1,Male,814
298,2011,True,Sub-degree,The Hong Kong Polytechnic University,2,Female,928
299,2011,True,Sub-degree,The Hong Kong Polytechnic University,2,Male,593
300,2011,True,Sub-degree,The Hong Kong Polytechnic University,3,Female,84
301,2011,True,Sub-degree,The Hong Kong Polytechnic University,3,Male,23
302,2011,True,Sub-degree,The Hong Kong Polytechnic University,work placement,Female,23
303,2011,True,Sub-degree,The Hong Kong Polytechnic University,work placement,Male,@
304,2011,False,Sub-degree,The Hong Kong Polytechnic University,1,Female,145
305,2011,False,Sub-degree,The Hong Kong Polytechnic University,1,Male,62
306,2011,False,Sub-degree,The Hong Kong Polytechnic University,2,Female,165
307,2011,False,Sub-degree,The Hong Kong Polytechnic University,2,Male,79
308,2011,False,Sub-degree,The Hong Kong Polytechnic University,3,Female,140
309,2011,False,Sub-degree,The Hong Kong Polytechnic University,3,Male,69
310,2011,False,Sub-degree,The Hong Kong Polytechnic University,4,Female,49
311,2011,False,Sub-degree,The Hong Kong Polytechnic University,4,Male,40
312,2011,True,Taught postgraduate,The Hong Kong Polytechnic University,2,Female,12
313,2011,True,Taught postgraduate,The Hong Kong Polytechnic University,2,Male,@
314,2011,False,Taught postgraduate,The Hong Kong Polytechnic University,3,Female,26
315,2011,False,Taught postgraduate,The Hong Kong Polytechnic University,3,Male,15
316,2011,True,Undergraduate,The Hong Kong Polytechnic University,1,Female,1318
317,2011,True,Undergraduate,The Hong Kong Polytechnic University,1,Male,1349
318,2011,True,Undergraduate,The Hong Kong Polytechnic University,2,Female,1769
319,2011,True,Undergraduate,The Hong Kong Polytechnic University,2,Male,1564
320,2011,True,Undergraduate,The Hong Kong Polytechnic University,3,Female,1834
321,2011,True,Undergraduate,The Hong Kong Polytechnic University,3,Male,1620
322,2011,True,Undergraduate,The Hong Kong Polytechnic University,4,Female,186
323,2011,True,Undergraduate,The Hong Kong Polytechnic University,4,Male,127
324,2011,True,Undergraduate,The Hong Kong Polytechnic University,work placement,Female,54
325,2011,True,Undergraduate,The Hong Kong Polytechnic University,work placement,Male,99
326,2011,True,Research postgraduate,The Hong Kong University of Science and Technology,Postgrad,Female,311
327,2011,True,Research postgraduate,The Hong Kong University of Science and Technology,Postgrad,Male,746
328,2011,False,Research postgraduate,The Hong Kong University of Science and Technology,Postgrad,Female,6
329,2011,False,Research postgraduate,The Hong Kong University of Science and Technology,Postgrad,Male,20
330,2011,True,Undergraduate,The Hong Kong University of Science and Technology,1,Female,744
331,2011,True,Undergraduate,The Hong Kong University of Science and Technology,1,Male,1296
332,2011,True,Undergraduate,The Hong Kong University of Science and Technology,2,Female,693
333,2011,True,Undergraduate,The Hong Kong University of Science and Technology,2,Male,1305
334,2011,True,Undergraduate,The Hong Kong University of Science and Technology,3,Female,697
335,2011,True,Undergraduate,The Hong Kong University of Science and Technology,3,Male,1394
336,2011,True,Undergraduate,The Hong Kong University of Science and Technology,4,Female,6
337,2011,True,Undergraduate,The Hong Kong University of Science and Technology,4,Male,16
338,2011,True,Research postgraduate,The University of Hong Kong,Postgrad,Female,931
339,2011,True,Research postgraduate,The University of Hong Kong,Postgrad,Male,960
340,2011,False,Research postgraduate,The University of Hong Kong,Postgrad,Female,93
341,2011,False,Research postgraduate,The University of Hong Kong,Postgrad,Male,111
342,2011,True,Taught postgraduate,The University of Hong Kong,1,Female,266
343,2011,True,Taught postgraduate,The University of Hong Kong,1,Male,158
344,2011,True,Taught postgraduate,The University of Hong Kong,2,Female,47
345,2011,True,Taught postgraduate,The University of Hong Kong,2,Male,61
346,2011,False,Taught postgraduate,The University of Hong Kong,1,Female,166
347,2011,False,Taught postgraduate,The University of Hong Kong,1,Male,95
348,2011,False,Taught postgraduate,The University of Hong Kong,2,Female,161
349,2011,False,Taught postgraduate,The University of Hong Kong,2,Male,110
350,2011,True,Undergraduate,The University of Hong Kong,1,Female,1587
351,2011,True,Undergraduate,The University of Hong Kong,1,Male,1554
352,2011,True,Undergraduate,The University of Hong Kong,2,Female,1629
353,2011,True,Undergraduate,The University of Hong Kong,2,Male,1543
354,2011,True,Undergraduate,The University of Hong Kong,3,Female,1741
355,2011,True,Undergraduate,The University of Hong Kong,3,Male,1659
356,2011,True,Undergraduate,The University of Hong Kong,4,Female,380
357,2011,True,Undergraduate,The University of Hong Kong,4,Male,205
358,2011,True,Undergraduate,The University of Hong Kong,5,Female,96
359,2011,True,Undergraduate,The University of Hong Kong,5,Male,98
360,2012,True,Research postgraduate,City University of Hong Kong,Postgrad,Female,277
361,2012,True,Research postgraduate,City University of Hong Kong,Postgrad,Male,396
362,2012,False,Research postgraduate,City University of Hong Kong,Postgrad,Female,@
363,2012,False,Research postgraduate,City University of Hong Kong,Postgrad,Male,@
364,2012,True,Sub-degree,City University of Hong Kong,1,Female,237
365,2012,True,Sub-degree,City University of Hong Kong,1,Male,399
366,2012,True,Sub-degree,City University of Hong Kong,2,Female,177
367,2012,True,Sub-degree,City University of Hong Kong,2,Male,289
368,2012,True,Taught postgraduate,City University of Hong Kong,1,Female,29
369,2012,True,Taught postgraduate,City University of Hong Kong,1,Male,24
370,2012,True,Undergraduate,City University of Hong Kong,1,Female,994
371,2012,True,Undergraduate,City University of Hong Kong,1,Male,1375
372,2012,True,Undergraduate,City University of Hong Kong,2,Female,1446
373,2012,True,Undergraduate,City University of Hong Kong,2,Male,1543
374,2012,True,Undergraduate,City University of Hong Kong,3,Female,1524
375,2012,True,Undergraduate,City University of Hong Kong,3,Male,1545
376,2012,True,Undergraduate,City University of Hong Kong,4,Female,20
377,2012,True,Undergraduate,City University of Hong Kong,4,Male,26
378,2012,True,Undergraduate,City University of Hong Kong,work placement,Female,27
379,2012,True,Undergraduate,City University of Hong Kong,work placement,Male,94
380,2012,True,Research postgraduate,Hong Kong Baptist University,Postgrad,Female,114
381,2012,True,Research postgraduate,Hong Kong Baptist University,Postgrad,Male,108
382,2012,True,Taught postgraduate,Hong Kong Baptist University,1,Female,10
383,2012,True,Taught postgraduate,Hong Kong Baptist University,1,Male,14
384,2012,False,Taught postgraduate,Hong Kong Baptist University,1,Female,153
385,2012,False,Taught postgraduate,Hong Kong Baptist University,1,Male,120
386,2012,False,Taught postgraduate,Hong Kong Baptist University,2,Female,128
387,2012,False,Taught postgraduate,Hong Kong Baptist University,2,Male,107
388,2012,True,Undergraduate,Hong Kong Baptist University,1,Female,916
389,2012,True,Undergraduate,Hong Kong Baptist University,1,Male,546
390,2012,True,Undergraduate,Hong Kong Baptist University,2,Female,986
391,2012,True,Undergraduate,Hong Kong Baptist University,2,Male,605
392,2012,True,Undergraduate,Hong Kong Baptist University,3,Female,936
393,2012,True,Undergraduate,Hong Kong Baptist University,3,Male,635
394,2012,True,Undergraduate,Hong Kong Baptist University,4,Female,58
395,2012,True,Undergraduate,Hong Kong Baptist University,4,Male,36
396,2012,True,Undergraduate,Hong Kong Baptist University,5,Female,13
397,2012,True,Undergraduate,Hong Kong Baptist University,5,Male,16
398,2012,True,Undergraduate,Hong Kong Baptist University,work placement,Female,37
399,2012,True,Undergraduate,Hong Kong Baptist University,work placement,Male,9
400,2012,True,Research postgraduate,Lingnan University,Postgrad,Female,34
401,2012,True,Research postgraduate,Lingnan University,Postgrad,Male,25
