CDN number,City-designated neighbourhood,Former city/borough,Neighbourhoods covered
5,Elms-Old Rexdale,Etobicoke,The Elms and Rexdale
32,Englemount-Lawrence,North York,Lawrence Manor and Glen Park
11,Eringate-Centennial-West Deane,Etobicoke,Centennial Park and West Deane Park
13,Etobicoke West Mall,Etobicoke,Centennial Park and Eatonville
44,Flemingdon Park,North York,Flemingdon Park
102,Forest Hill North,Old City of Toronto,Forest Hill
101,Forest Hill South,Old City of Toronto,Forest Hill
25,Glenfield-Jane Heights,North York,Jane and Finch
65,Greenwood-Coxwell,Old City of Toronto,Leslieville
140,Guildwood,Scarborough,Guildwood
53,Henry Farm,North York,Henry Farm
88,High Park North,Old City of Toronto,"High Park North, West Bend"
87,High Park-Swansea,Old City of Toronto,"High Park, Roncesvalles and Swansea"
134,Highland Creek,Scarborough,Highland Creek
48,Hillcrest Village,North York,Hillcrest Village
8,Humber Heights-Westmount,Etobicoke,Humber Heights-Westmount
21,Humber Summit,North York,Humber Summit
22,Humbermede,North York,Humbermede and Emery
106,Humewood-Cedarvale,York,Cedarvale and Humewood
125,Ionview,Scarborough,Ionview
14,Islington-City Centre West,Etobicoke,Islington-Six Points
90,Junction Area,Old City of Toronto,The Junction
110,Keelesdale-Eglinton West,York,Keelesdale and Silverthorn
124,Kennedy Park,Scarborough,Scarborough Junction
78,Kensington-Chinatown,Old City of Toronto,"Alexandra Park, Chinatown, Grange Park, Kensington Market"
6,Kingsview Village-The Westway,Etobicoke,Kingsview Village and Richview
15,Kingsway South,Etobicoke,The Kingsway
117,L'Amoreaux,Scarborough,"L'Amoreaux, Leacock, and Bridlewood"
114,Lambton Baby Point,York,Baby Point and Old Mill
38,Lansing-Westgate,North York,Lansing
105,Lawrence Park North,Old City of Toronto,"Bedford Park, Teddington Park, and Wanless Park"
103,Lawrence Park South,Old City of Toronto,"Lawrence Park, Lytton Park, North Toronto"
56,Leaside-Bennington,East York,Leaside
84,Little Portugal,Old City of Toronto,Little Portugal and Brockton
19,Long Branch,Etobicoke,Long Branch
132,Malvern,Scarborough,Malvern
29,Maple Leaf,North York,
12,Markland Wood,Etobicoke,Markland Wood
130,Milliken,Scarborough,Milliken
17,Mimico,Etobicoke,Mimico
135,Morningside,Scarborough,Morningside
73,Moss Park,Old City of Toronto,"Moss Park, Corktown and Garden District"
115,Mount Dennis,York,Mount Dennis
2,Mount Olive-Silverstone-Jamestown,Etobicoke,Smithfield
99,Mount Pleasant East,Old City of Toronto,"Davisville Village, North Toronto"
104,Mount Pleasant West,Old City of Toronto,"Davisville Village, North Toronto"
18,New Toronto,Etobicoke,New Toronto
50,Newtonbrook East,North York,Newtonbrook
36,Newtonbrook West,North York,Newtonbrook
82,Niagara,Old City of Toronto,"Niagara, Liberty Village, Exhibition Place"
68,North Riverdale,Old City of Toronto,Riverdale
74,North St. James Town,Old City of Toronto,St. James Town
54,O'Connor-Parkview,East York,"Parkview Hills, Topham Park"
121,Oakridge,Scarborough,Oakridge
107,Oakwood Village,York,Oakwood Village
58,Old East York,East York,Old East York
80,Palmerston-Little Italy,Old City of Toronto,Little Italy and Palmerston
45,Parkwoods-Donalda,North York,Parkwoods
23,Pelmo Park-Humberlea,North York,Humberlea
67,Playter Estates-Danforth,Old City of Toronto,Playter Estates and Greektown
46,Pleasant View,North York,Pleasant View
10,Princess-Rosethorn,Etobicoke,"Princess Anne Manor, Thorncrest Village, and Princess Margaret"
72,Regent Park,Old City of Toronto,"Regent Park, Trefann Court"
4,Rexdale-Kipling,Etobicoke,Rexdale
111,Rockcliffe-Smythe,York,"Harwood, Syme"
86,Roncesvalles,Old City of Toronto,Roncesvalles
98,Rosedale-Moore Park,Old City of Toronto,Rosedale and Moore Park
131,Rouge,Scarborough,"West Rouge, Rouge Park"
89,Runnymede-Bloor West Village,Old City of Toronto,Runnymede-Bloor West Village
28,Rustic,North York,
139,Scarborough Village,Scarborough,
70,South Riverdale,Old City of Toronto,
85,South Parkdale,Old City of Toronto,"Parkdale, South Parkdale"
40,St. Andrew-Windfields,North York,York Mills and Hoggs Hollow
116,Steeles,Scarborough,
16,Stonegate-Queensway,Etobicoke,"Humber Bay, Queensway"
118,Tam O'Shanter-Sullivan,Scarborough,
63,The Beaches,Old City of Toronto,"The Beach/Beaches, Beaches North"
3,Thistletown-Beaumond Heights,Etobicoke,
55,Thorncliffe Park,East York,
81,Trinity-Bellwoods,Old City of Toronto,
79,University,Old City of Toronto,
43,Victoria Village,North York,
77,Waterfront Communities-The Island,Old City of Toronto,"Distillery District, Old Town, St. Lawrence"
136,West Hill,Scarborough,
1,West Humber-Clairville,Etobicoke,
35,Westminster-Branson,North York,
113,Weston,York,
91,Weston-Pellam Park,Old City of Toronto,"Carlton, Davenport, St. Clair Gardens"
119,Wexford-Maryvale,Scarborough,
51,Willowdale East,North York,
37,Willowdale West,North York,
7,Willowridge-Martingrove-Richview,Etobicoke,
137,Woburn,Scarborough,
64,Woodbine Corridor,Old City of Toronto,
60,Woodbine-Lumsden,East York,
94,Wychwood,Old City of Toronto,
100,Yonge and Eglinton,Old City of Toronto,Chaplin Estates
97,Yonge-St.Clair,Old City of Toronto,
27,York University Heights,North York,
31,Yorkdale-Glen Park,North York,
